gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulate
MFSD4A	-1.5323365405	3.18410274025	-26.0025455372275	5.01242509289884e-12	1.02654465902568e-07	17.4454209968144	unchanged
TNFSF11	-1.7834748415	3.29649513325	-22.6268249312623	2.63184020079322e-11	2.69500436561226e-07	16.0811751530427	unchanged
HSD11B1-AS1	5.64930914183333	10.2508393524167	21.0187178559319	6.3154804074689e-11	3.23352596862408e-07	15.3273554576495	up-regulated
G0S2	5.64930914183333	10.2508393524167	21.0187178559319	6.3154804074689e-11	3.23352596862408e-07	15.3273554576495	up-regulated
PXMP4	-1.25692824983333	4.93490729408333	-20.1405127650351	1.04678987271968e-10	3.27318308778268e-07	14.8825861399028	unchanged
ID3	-1.96390148066667	5.37722144633333	-19.8264246141403	1.26052687205763e-10	3.27318308778268e-07	14.7173736464536	unchanged
RNF34	-1.16398879783333	9.25528716741667	-19.645237371325	1.40492121344818e-10	3.27318308778268e-07	14.6205365866683	unchanged
TAS2R4	-2.72459039733333	4.0931758775	-19.2827455528801	1.75034894675122e-10	3.27318308778268e-07	14.423350482009	down-regulated
ZBTB24	2.117050963	10.9643133285	19.2513634248382	1.78430609381172e-10	3.27318308778268e-07	14.4060593624949	up-regulated
FILIP1L	-2.035600859	3.48130758666667	-19.1427807590781	1.90739798204439e-10	3.27318308778268e-07	14.3459571545604	down-regulated
PCDH8	-2.35516631666667	3.27615851083333	-19.0199655569382	2.0577738280644e-10	3.27318308778268e-07	14.2774593400519	down-regulated
MEGF11	-2.01151791333333	5.61175164083333	-19.0169866393414	2.06157664833064e-10	3.27318308778268e-07	14.2757910318034	down-regulated
CXCR6	-2.33937328166667	6.4336862315	-18.828791303909	2.31791477418129e-10	3.27318308778268e-07	14.1697281081098	down-regulated
TSC22D2	3.08860644233333	9.29365483383333	18.7885302187789	2.37710400642202e-10	3.27318308778268e-07	14.1468662645764	up-regulated
KBTBD6	-1.3787626365	7.29817867158333	-18.7750060289859	2.39735089437208e-10	3.27318308778268e-07	14.1391730259214	unchanged
ZNF225	-1.16935412966667	3.11652692466667	-18.4902809790864	2.86986772736949e-10	3.67343069103294e-07	13.9755950305669	unchanged
CXCL8	5.32747908683334	12.02095116575	18.0919703070264	3.70742037271315e-10	4.46635113136267e-07	13.7414837596336	up-regulated
AC000120.3	-1.02995149525	7.29409691120833	-17.8785078548504	4.26202612149773e-10	4.84923860934853e-07	13.613414575041	unchanged
CSRNP1	2.01832972333333	9.397188455	17.7138573044246	4.75092279562641e-10	5.12099467654889e-07	13.5133585134112	up-regulated
B3GALT2	-2.8743934435	4.12174326858333	-17.575700316861	5.20795298217812e-10	5.33294385375039e-07	13.42853335775	down-regulated
PPP1R15A	2.08558912833333	15.2944651641667	17.4632697765277	5.6149266124734e-10	5.47589033445025e-07	13.3589107038469	up-regulated
SLA	-1.33668869666667	11.3550943266667	-17.2505201051004	6.48210828929403e-10	6.03425353476099e-07	13.2256876459944	unchanged
COX15	-1.10356300716667	7.88523468858333	-16.800564454522	8.83106557702532e-10	7.86348795728168e-07	12.9373958354466	unchanged
CD69	2.51720413666667	12.1587626433333	16.6250891264777	9.98365119630316e-10	8.51938235417869e-07	12.8224963858654	up-regulated
