"","GSM4861833","GSM4861834","GSM4861835","GSM4861836","GSM4861837","GSM4861838","GSM4861839","GSM4861840","GSM4861841","GSM4861842","GSM4861843","GSM4861844"
"CAMK1G",2.943334775,3.042299431,3.283809448,3.055115355,3.057291489,3.08144764,3.163881165,3.067424408,3.10535916,2.977370972,2.982821462,2.989926699
"NOL4L",7.191262932,7.398482697,7.274683899,7.283727314,7.345773122,7.337651493,7.226261915,6.89265732,6.859143832,6.895149753,6.715171006,6.971133731
"AL034550.3",7.191262932,7.398482697,7.274683899,7.283727314,7.345773122,7.337651493,7.226261915,6.89265732,6.859143832,6.895149753,6.715171006,6.971133731
"TCFL5",9.3030440395,9.0766009475,8.870315724,9.1455241575,9.0920292195,9.051554391,9.1645171465,9.1632901085,9.147449678,9.2663105615,9.2076971625,9.3917986235
"PRR29",4.542612085,4.5280184255,4.8214891915,4.429015372,4.637662229,4.8161051545,4.8620953755,4.234464341,4.8843106875,4.490449953,4.8503072555,4.539726749
"PRR29-AS1",4.542612085,4.5280184255,4.8214891915,4.429015372,4.637662229,4.8161051545,4.8620953755,4.234464341,4.8843106875,4.490449953,4.8503072555,4.539726749
"AC067852.1",7.79936934566667,7.90335590933333,7.82210750833333,7.81752904366667,7.88947539166667,7.902004876,7.70631841666667,7.77193933133333,7.82897429866667,7.33532522133333,7.70512570966667,7.65843410633333
"HSD17B1",7.3961868675,7.383743257,7.447388381,7.3277474875,7.433145707,7.526046267,7.3511924905,7.3974407755,7.3451434675,7.001135246,7.413466701,7.3639509345
"AC067852.2",7.3961868675,7.383743257,7.447388381,7.3277474875,7.433145707,7.526046267,7.3511924905,7.3974407755,7.3451434675,7.001135246,7.413466701,7.3639509345
"POM121",6.304184835,6.496009401,6.772596053,6.718670657,6.519881275,6.562315612,6.398444865,6.64841838,6.540118978,6.221362052,6.090862993,6.226634022
"POM121C",8.693396422,9.221474135,8.542011997,9.040572681,8.820142007,8.742022142,8.852730837,8.951283203,8.883766132,8.660769092,8.342242318,8.661457079
"RALGAPA1",9.126904598,8.878967562,9.137391996,9.088199844,9.137232568,8.947561456,8.611819582,8.947062443,9.308366437,8.651519467,8.290751188,8.666418619
"CCL27",6.109013206,6.032639635,6.435489703,6.28637861,6.131825929,6.107927776,6.991298501,6.787090947,6.773330232,6.143359549,6.625536656,6.648052546
"AL162231.4",6.904684062,7.037857398,7.088663167,7.1108746175,7.001627526,6.9427520615,7.34702392,7.306673809,7.5162047635,7.0369808965,7.330358621,7.34318105
"TMEM98",4.003702671,3.956601735,4.071433777,3.796361705,3.936289754,4.228153281,4.583018787,4.4447597,4.411426565,3.983326942,3.83690011,4.474431576
"SLC35F2",5.531244213,5.621916307,5.670890959,5.642803992,5.536926241,5.571533748,5.61845904,5.653851804,5.436206412,5.768687907,5.917837663,5.640958734
"AC027601.3",3.496103793,3.462223695,3.448929028,3.4808810065,3.5236458555,3.4354183445,3.605581299,3.35966237,3.5463345565,3.0347361055,3.262005023,3.1838992075
"CEP131",3.496103793,3.462223695,3.448929028,3.4808810065,3.5236458555,3.4354183445,3.605581299,3.35966237,3.5463345565,3.0347361055,3.262005023,3.1838992075
"AL391650.1",7.924344973,7.878025313,7.52396256,7.747646352,7.823389359,7.883515539,7.667785198,7.662942413,7.833141764,7.832499697,7.965310144,7.850791283
"ZNF593",7.924344973,7.878025313,7.52396256,7.747646352,7.823389359,7.883515539,7.667785198,7.662942413,7.833141764,7.832499697,7.965310144,7.850791283
"RGPD5",5.7533453875,5.7653138855,5.464946757,5.5989529485,5.6731805315,5.750130373,6.0546235835,5.9689357245,5.9818345415,5.6624753185,5.7293428375,5.6084211495
"RGPD8",9.2971104685,9.2770159645,9.036238576,9.0839154585,9.2211614565,9.347739868,9.5225156855,9.1863626195,9.3887683875,8.8190640745,8.841796048,8.81480525
"RGPD6",8.820846204,8.86109602,8.26133024,8.523783996,8.670396691,8.803844049,9.345615468,9.255906939,9.249586299,8.719231806,8.848352069,8.600492891
"CNTNAP3B",3.34168312733333,3.978734362,3.27197125433333,3.461029419,3.40940971266667,3.69385156366667,3.01389715233333,3.333546119,2.96391555466667,4.416099091,4.88769142366667,4.53006638466667
"DPH7",5.229160864,5.199524705,5.238039653,5.243258048,5.2037389865,5.363424689,4.923331122,4.9932303465,5.1147369055,4.274599744,4.150403233,4.0657599455
"C16orf92",4.8064317315,4.435899855,4.7757019435,4.7155524705,4.780185259,4.5175667605,4.642517587,4.6882021155,4.8672838595,4.9698276495,4.6177360955,4.673601221
"TLCD3B",2.982481509,2.751135805,3.002045714,2.893921697,2.895834388,2.917066195,2.992057133,2.907277434,2.940619803,3.295012265,2.832916523,2.8391616
"GYPB",3.052754452,3.141068077,3.457532536,3.175005962,3.176851404,3.197336706,3.36683594,3.285037075,3.317207135,5.473598831,5.864875517,4.598392746
"AC107223.1",3.03635623425,3.150565137,3.234313087,3.04644289075,3.1061725455,3.2562001,3.31621492625,3.01085228775,3.4897294775,4.13467529375,4.0762406185,3.25661471925
