"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"TAS2R4",-2.72459039733333,4.0931758775,-19.2827455528801,1.75034894675122e-10,3.27318308778268e-07,14.423350482009,"down-regulated"
"FILIP1L",-2.035600859,3.48130758666667,-19.1427807590781,1.90739798204439e-10,3.27318308778268e-07,14.3459571545604,"down-regulated"
"PCDH8",-2.35516631666667,3.27615851083333,-19.0199655569382,2.0577738280644e-10,3.27318308778268e-07,14.2774593400519,"down-regulated"
"MEGF11",-2.01151791333333,5.61175164083333,-19.0169866393414,2.06157664833064e-10,3.27318308778268e-07,14.2757910318034,"down-regulated"
"CXCR6",-2.33937328166667,6.4336862315,-18.828791303909,2.31791477418129e-10,3.27318308778268e-07,14.1697281081098,"down-regulated"
"B3GALT2",-2.8743934435,4.12174326858333,-17.575700316861,5.20795298217812e-10,5.33294385375039e-07,13.42853335775,"down-regulated"
"SLF2",-2.38819291133334,6.6819202625,-16.1155793284578,1.43539051768604e-09,1.10010302086256e-06,12.4807183435873,"down-regulated"
"AC025627.1",-2.40605088166667,4.6842137765,-12.3582036709015,3.03831637810723e-08,5.2732813070878e-06,9.52083456946734,"down-regulated"
"SLC47A1",-2.40605088166667,4.6842137765,-12.3582036709015,3.03831637810723e-08,5.2732813070878e-06,9.52083456946734,"down-regulated"
"FKTN",-2.09730126033333,3.76118600483333,-12.3384082481155,3.09395779745981e-08,5.32472736907369e-06,9.5028470255994,"down-regulated"
"FAM43A",-2.0661880875,8.41396300625,-10.4203973709106,2.04396957322098e-07,1.82796929517754e-05,7.61230171595885,"down-regulated"
"CCDC68",-2.376419702,3.849534733,-9.56107570735871,5.23357388008134e-07,3.41349022497025e-05,6.65896799399004,"down-regulated"
"LUM",-2.56781361783333,3.77697413475,-9.32620213022915,6.84604130234064e-07,3.96064762350103e-05,6.3854767034744,"down-regulated"
"GPR20",-2.04951964666667,3.79219918116667,-8.96662742194143,1.04347161905315e-06,5.33347800599463e-05,5.95538151670818,"down-regulated"
"KBTBD3",-2.2314110775,4.51459382325,-8.26662659071003,2.46187528047551e-06,9.35421256848581e-05,5.07643311995132,"down-regulated"
"CXCR1",-2.29476442233333,4.357398029,-6.84488256282116,1.67102139483846e-05,0.000337088879593675,3.10524753553935,"down-regulated"
"UGT2B17",-2.87355156716667,4.67499139875,-5.80803740679504,7.9536586145693e-05,0.00101235578069601,1.49511424650515,"down-regulated"
"ADAMTS1",-2.0865402605,9.80751422591667,-5.80254385409726,8.02284111826993e-05,0.00101927907011271,1.48617902151403,"down-regulated"
"KCNA5",-2.06733985766667,5.00227475133333,-5.54183673185941,0.000121602078424936,0.00137212703368743,1.05725633016988,"down-regulated"
"RNF17",-2.58382480716667,3.76413151941667,-5.16375117989212,0.000226066781776976,0.00216231995264834,0.418473525451623,"down-regulated"
"S100B",-2.61745097333333,9.30925617433333,-4.78738475246616,0.000427423324668795,0.00345856566148436,-0.236254084337185,"down-regulated"
"ANKRD18B",-2.14774340266667,7.73849795866667,-4.67339607210685,0.000520326185777062,0.00396291568788182,-0.438033345441173,"down-regulated"
"ZNF836",-2.37370871233334,9.0616571105,-4.07139474539786,0.00151050976731125,0.00866776128734505,-1.5269083808648,"down-regulated"
"AC011468.2",-2.37370871233334,9.0616571105,-4.07139474539786,0.00151050976731125,0.00866776128734505,-1.5269083808648,"down-regulated"
"HYDIN",-3.11601350833333,4.91194469066667,-4.03052178683314,0.00162632441895839,0.00917046368399446,-1.60204012500212,"down-regulated"
"PTGDS",-2.07997630283333,9.11881962591667,-3.22137852563486,0.00722617031164871,0.028394468147077,-3.10450001509813,"down-regulated"
"AL807752.7",-2.07997630283333,9.11881962591667,-3.22137852563486,0.00722617031164871,0.028394468147077,-3.10450001509813,"down-regulated"
"SPINK6",-3.94663087833333,3.77333203766667,-2.69527945103151,0.0192914825999587,0.0596992389917127,-4.07181334565628,"down-regulated"
