ID,GSM4861833,GSM4861834,GSM4861835,GSM4861836,GSM4861837,GSM4861838,GSM4861839,GSM4861840,GSM4861841,GSM4861842,GSM4861843,GSM4861844
ASHGV40000006,2.943334775,3.042299431,3.283809448,3.055115355,3.057291489,3.08144764,3.163881165,3.067424408,3.10535916,2.977370972,2.982821462,2.989926699
ASHGV40000008,7.191262932,7.398482697,7.274683899,7.283727314,7.345773122,7.337651493,7.226261915,6.89265732,6.859143832,6.895149753,6.715171006,6.971133731
ASHGV40000009,8.303610419,8.224642629,8.151284505,8.448562817,8.247809304,8.120397895,7.907803053,7.786747537,7.820616006,7.476685333,7.460418185,7.812281417
ASHGV40000010,4.915952137,5.137654874,5.244886921,4.992882017,5.104414168,5.195997587,5.061582053,4.901063776,5.021098867,4.84424397,5.206264944,4.677129435
ASHGV40000011,4.521942325,4.480766254,4.343912212,4.247353455,4.456033624,4.683786614,4.665944671,4.966728751,4.983098799,3.763462352,4.582936842,4.593422869
ASHGV40000013,6.304184835,6.496009401,6.772596053,6.718670657,6.519881275,6.562315612,6.398444865,6.64841838,6.540118978,6.221362052,6.090862993,6.226634022
ASHGV40000014,8.693396422,9.221474135,8.542011997,9.040572681,8.820142007,8.742022142,8.852730837,8.951283203,8.883766132,8.660769092,8.342242318,8.661457079
ASHGV40000015,9.126904598,8.878967562,9.137391996,9.088199844,9.137232568,8.947561456,8.611819582,8.947062443,9.308366437,8.651519467,8.290751188,8.666418619
ASHGV40000017,6.109013206,6.032639635,6.435489703,6.28637861,6.131825929,6.107927776,6.991298501,6.787090947,6.773330232,6.143359549,6.625536656,6.648052546
ASHGV40000018,4.694625211,4.406648855,5.206195562,4.797962366,4.953736349,4.481850851,4.94890052,4.916748114,4.014396451,5.552304499,5.475188877,5.671409073
ASHGV40000019,4.003702671,3.956601735,4.071433777,3.796361705,3.936289754,4.228153281,4.583018787,4.4447597,4.411426565,3.983326942,3.83690011,4.474431576
ASHGV40000020,5.531244213,5.621916307,5.670890959,5.642803992,5.536926241,5.571533748,5.61845904,5.653851804,5.436206412,5.768687907,5.917837663,5.640958734
ASHGV40000021,2.853174524,2.820595278,2.895422443,2.843104065,2.844950353,2.865445051,2.940586401,2.858750017,2.890934833,2.782346375,3.267236036,2.792998975
ASHGV40000022,7.924344973,7.878025313,7.52396256,7.747646352,7.823389359,7.883515539,7.667785198,7.662942413,7.833141764,7.832499697,7.965310144,7.850791283
ASHGV40000023,8.820846204,8.86109602,8.26133024,8.523783996,8.670396691,8.803844049,9.345615468,9.255906939,9.249586299,8.719231806,8.848352069,8.600492891
ASHGV40000025,2.797620554,2.919289682,2.959797126,2.874763468,2.8766081,2.897084418,3.016976046,2.935213054,2.967369006,3.576121093,4.155279637,4.085018839
ASHGV40000026,5.546638298,5.441116653,5.566926323,5.477263458,5.525150013,5.712161122,5.247275454,5.328875948,5.35104062,4.422491809,4.387022147,4.235942808
ASHGV40000027,2.982481509,2.751135805,3.002045714,2.893921697,2.895834388,2.917066195,2.992057133,2.907277434,2.940619803,3.295012265,2.832916523,2.8391616
