"","Activated B cell","Activated CD4 T cell","Activated CD8 T cell","Activated dendritic cell","CD56bright natural killer cell","CD56dim natural killer cell","Central memory CD4 T cell","Central memory CD8 T cell","Effector memeory CD4 T cell","Effector memeory CD8 T cell","Eosinophil","Gamma delta T cell","Immature  B cell","Immature dendritic cell","Macrophage","Mast cell","MDSC","Memory B cell","Monocyte","Natural killer cell","Natural killer T cell","Neutrophil","Plasmacytoid dendritic cell","Regulatory T cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell"
"GSM4861833",0.486742408760933,0.471428988999895,0.99482835182419,0.470170611755963,0.422820645358769,0.680470578859145,0.863389707734803,0.355650548710439,0.575167278531899,0.635519871308141,0.348731019973687,0.521877653814083,0.68322807574464,0.51220927710886,0.260876938431183,0.500511364714818,0.75435726784623,0.269650426354923,0.515960614734593,0.302950153593801,0.176752858657099,0.255583463432209,0.628499942041336,0.415718429126827,0.354418896750229,0.310399677359416,0.203927780603353,0.107129943071524
"GSM4861834",0.368237746251232,0.445066246120847,0.998933112317067,0.499938285729286,0.42104645883902,0.686083066642182,0.847870982333764,0.330999562214002,0.563964916782696,0.652856986620168,0.393243135514342,0.514843403355271,0.652921270001045,0.527848393090356,0.308915252405201,0.535959585291291,0.799659258144376,0.297564141938336,0.551288850289507,0.295951900460355,0.180904691384497,0.372544588509704,0.665709776593109,0.353608522262335,0.344003748372417,0.310506754898424,0.166942115240346,0.0558494673300164
"GSM4861835",0.443579233820291,0.366253921188992,0.990682154604145,0.473346648690369,0.402902577238666,0.707876045580851,0.869631933574252,0.354718396058873,0.561620526635518,0.688931338838394,0.382363330049264,0.528929647036892,0.640668886765324,0.509677980169675,0.244088527397991,0.568781322171386,0.781138833854029,0.329875692188495,0.526115151174788,0.261254358243399,0.167617515232741,0.291993587884301,0.611628551836819,0.368431803757483,0.354366571495959,0.325530644742557,0.173647500505549,0.0664695817383858
"GSM4861836",0.423778805291137,0.423703546660749,1.00842722192133,0.480730578206778,0.41721874999126,0.708505410549157,0.848362935625593,0.322560407540077,0.559711821714168,0.664058998854352,0.36275165844562,0.513742316519249,0.639697192495632,0.493739595506971,0.208129140417275,0.522266009117458,0.760470234224819,0.286000415221166,0.524403479185592,0.258082041811703,0.199841071563164,0.242637066528365,0.609991373320527,0.343737719370751,0.371259790204722,0.314429743050333,0.165970712306659,0.0742492500396887
"GSM4861837",0.451151476765166,0.427664848361742,0.997699230392649,0.483824839967222,0.41669265377328,0.688812153721012,0.852341750647496,0.368984630390341,0.582815544290132,0.667406402581819,0.379045256339999,0.523028913376979,0.667281319771414,0.518304735268663,0.27253498968939,0.532337230600595,0.787937989964101,0.288750949795847,0.537520744246269,0.287965716564159,0.181042551795251,0.321306343395141,0.641267336836684,0.385050683309849,0.380379010302586,0.302958265323117,0.181129425616769,0.0778339410290323
"GSM4861838",0.451738709495968,0.416713592802246,0.981913038760582,0.479483816263118,0.427126907114578,0.678433154880013,0.859247440006677,0.385218690265167,0.588843171975933,0.656806241573037,0.373014646027229,0.530253659023575,0.683876019296094,0.539785247185895,0.310220256328273,0.53928121556811,0.797506675625056,0.312351870043518,0.536782109389479,0.304336336850275,0.144346479684383,0.373402527249085,0.661196397458186,0.396283957685248,0.352679159842026,0.305110799440604,0.181180710318905,0.0874794597831172
"GSM4861839",0.469120503439406,0.471530498005546,0.96155673241279,0.449130130133001,0.398600670456772,0.726687858774215,0.823415032928396,0.266500375495057,0.560552318954368,0.58117654821575,0.496579216813582,0.501188587173453,0.712947243521492,0.51193747417577,0.259025126657176,0.528607671658858,0.685238164674249,0.276919829483054,0.466647180876813,0.287965965442527,0.157059074848647,0.203111399967491,0.627183749125894,0.382160077923865,0.379727727009924,0.273533392721125,0.168182719615677,0.0622804642655091
"GSM4861840",0.463744349191701,0.478554698710811,0.975147362741609,0.4533868899181,0.38014995597885,0.736085505492025,0.830689217738068,0.300431066551748,0.547515071028486,0.598567178164404,0.46930562061344,0.52731535126043,0.710158341889583,0.513286955734276,0.215866721181527,0.531855263834457,0.713259833418694,0.285739243572459,0.4746753724128,0.279174041613208,0.162824914459196,0.147811921929994,0.618285080584957,0.396983701142629,0.401456681381544,0.27707802962626,0.148765669756007,0.0315231002818829
"GSM4861841",0.468348996487911,0.455498275054871,0.966949466685114,0.434631697580839,0.382392307312029,0.716503605727635,0.846505353722333,0.339521050333045,0.53776690268899,0.626918700336141,0.454189505695132,0.525440175101012,0.695570191446413,0.50418876967792,0.188799961447036,0.513923416980902,0.744286363608234,0.270215085289655,0.498091765040312,0.262484922681787,0.173541696788444,0.176693334601297,0.619128966158724,0.372187964053473,0.418677197812471,0.279788267250366,0.185858567597386,0.00842722192132852
"GSM4861842",0.457697694981128,0.457380283933792,0.937385962623104,0.5304269170707,0.385934539201682,0.731239838681769,0.822378729605606,0.3469593533917,0.559722703979382,0.579160632027487,0.457406605452577,0.58443484321324,0.691323903958956,0.577675973244083,0.384548107357859,0.62636696735648,0.770752004822985,0.322452567907056,0.511251071663081,0.313121376101038,0.155245832475563,0.366596969526224,0.652914379638185,0.449926843261404,0.422937172275245,0.301511488382725,0.199703875858326,0.0215253046064502
"GSM4861843",0.494644861613803,0.469552206617076,0.92296505273655,0.514428774399219,0.38075064023048,0.734298354456575,0.82785873099157,0.347335418813321,0.553102132645133,0.567849817015426,0.460057486913747,0.584821352102763,0.698469804412021,0.59253937453324,0.388494647965153,0.616249019382685,0.760521566020851,0.322400771300323,0.5115361409324,0.314680231108824,0.149778245740726,0.369951784496579,0.650133692975212,0.448958867898041,0.413512258906481,0.301819174745202,0.172439833228501,0.0176377842602263
"GSM4861844",0.357819331998102,0.44530557038761,0.947405787357721,0.513168825640151,0.402865487235387,0.737649255265059,0.81973009234048,0.322665987626404,0.563386654621865,0.596006901835126,0.451058744059208,0.579270651766621,0.631694554307776,0.5489095436664,0.390065709854146,0.602100225512654,0.768960667692514,0.354855759716467,0.505270732340373,0.31104564495963,0.167423724454217,0.369435420662901,0.667127358600865,0.437666100307269,0.382949760132116,0.315621901564033,0.189014823778389,0.0338525946744857
