"","nodes","type"
"1","hsa-miR-124-3p","mi"
"2","hsa-miR-1-3p","mi"
"3","hsa-miR-27b-5p","mi"
"4","hsa-miR-335-5p","mi"
"5","hsa-miR-98-5p","mi"
"6","hsa-miR-223-3p","mi"
"7","hsa-miR-532-5p","mi"
"8","hsa-miR-204-5p","mi"
"9","hsa-miR-21-5p","mi"
"10","hsa-miR-887-3p","mi"
"11","hsa-miR-24-3p","mi"
"12","hsa-miR-106a-5p","mi"
"13","hsa-miR-877-3p","mi"
"14","hsa-let-7a-5p","mi"
"15","hsa-miR-203a-3p","mi"
"16","hsa-miR-142-3p","mi"
"17","hsa-miR-26a-5p","mi"
"18","hsa-miR-365a-3p","mi"
"19","hsa-miR-155-5p","mi"
"20","hsa-miR-107","mi"
"21","hsa-let-7c-5p","mi"
"22","hsa-miR-149-5p","mi"
"23","hsa-let-7f-5p","mi"
"24","hsa-miR-146b-5p","mi"
"25","hsa-miR-9-5p","mi"
"26","hsa-miR-146a-5p","mi"
"27","hsa-miR-125a-3p","mi"
"28","hsa-miR-136-5p","mi"
"29","hsa-miR-451a","mi"
"30","hsa-miR-520b","mi"
"31","hsa-miR-23a-3p","mi"
"32","hsa-miR-93-5p","mi"
"33","hsa-miR-302c-3p","mi"
"34","hsa-miR-302d-3p","mi"
"35","hsa-miR-100-3p","mi"
"36","hsa-let-7b-5p","mi"
"37","hsa-let-7d-5p","mi"
"38","hsa-let-7e-5p","mi"
"39","hsa-let-7g-5p","mi"
"40","hsa-let-7i-5p","mi"
"41","hsa-miR-1208","mi"
"42","hsa-miR-1294","mi"
"43","hsa-miR-202-3p","mi"
"44","hsa-miR-4316","mi"
"45","hsa-miR-4426","mi"
"46","hsa-miR-4458","mi"
"47","hsa-miR-4500","mi"
"48","hsa-miR-4647","mi"
"49","hsa-miR-4662b","mi"
"50","hsa-miR-4677-3p","mi"
"51","hsa-miR-499a-3p","mi"
"52","hsa-miR-499b-3p","mi"
"53","hsa-miR-6760-3p","mi"
"54","CXCL1","pc"
"55","CXCL2","pc"
"56","IL1B","pc"
"57","IL6","pc"
"58","CXCL8","pc"
"59","AC074117.1","lnc"
"60","AC124045.1","lnc"
"61","NEAT1","lnc"
"62","AC109460.3","lnc"
"63","AP000766.1","lnc"
"64","LINC02381","lnc"
"65","AC145207.5","lnc"
"66","FGD5-AS1","lnc"
"67","AC090198.1","lnc"
"68","NORAD","lnc"
"69","AC068768.1","lnc"
"70","GAS5","lnc"
"71","PITPNA-AS1","lnc"
"72","AC078846.1","lnc"
"73","EBLN3P","lnc"
"74","MIR497HG","lnc"
"75","OTUD6B-AS1","lnc"
"76","HAGLR","lnc"
