"","turquoise_gene"
"1","ZFP57"
"2","HSD11B1-AS1"
"3","G0S2"
"4","IL1A"
"5","CXCL8"
"6","NR4A3"
"7","STX17-AS1"
"8","CCL3"
"9","AC243829.4"
"10","EREG"
"11","HBEGF"
"12","PTGDS"
"13","AL807752.7"
"14","TSC22D2"
"15","LDHC"
"16","HIST1H3G"
"17","CD83"
"18","CXCL2"
"19","AC243829.1"
"20","CCL3L1"
"21","LUM"
"22","B3GALT2"
"23","NR4A2"
"24","CCIN"
"25","PTGS2"
"26","RNF17"
"27","LYZ"
"28","TAS2R4"
"29","SPTSSB"
"30","HIST2H3C"
"31","BHLHE40"
"32","SLF2"
"33","CCL18"
"34","ADAMTS1"
"35","CD69"
"36","CXCR6"
"37","SOCS3"
"38","AC025627.1"
"39","SLC47A1"
"40","CXCL3"
"41","FP565260.3"
"42","UGT2B17"
"43","ANKRD18B"
"44","HIST1H4D"
"45","CXCL1"
"46","AC022217.3"
"47","DUSP1"
"48","CFAP45"
"49","IL6"
"50","KIF13A"
"51","HIST1H4B"
"52","AL162258.2"
"53","S100A1"
"54","AL162258.1"
"55","KCNK7"
"56","EDN2"
"57","SLC22A16"
"58","NFKBIZ"
"59","ZBTB24"
"60","PCDH8"
"61","FAM43A"
"62","NRG1"
"63","ZBTB12"
"64","ID1"
"65","LAIR2"
"66","CSRNP1"
"67","PLK2"
"68","FILIP1L"
"69","FKTN"
"70","ETV7"
"71","SYCP2L"
"72","CCDC68"
"73","S100B"
"74","LINC01565"
"75","AP003680.1"
"76","CXCR1"
"77","NFIL3"
"78","ATF3"
"79","PPP1R15A"
"80","ID3"
"81","MEGF11"
"82","IL1B"
"83","ZNF414"
"84","OR10A6"
"85","ZNF322"
"86","MARCO"
"87","HIST2H3A"
"88","MYO18B"
"89","BTG2"
"90","TRDV2"
"91","GNLY"
"92","GPNMB"
"93","WDCP"
"94","SGK1"
"95","KLK3"
"96","HIST1H4L"
"97","MAP3K8"
"98","IFIT1"
"99","LAX1"
"100","MAFK"
"101","C9orf40"
"102","FGD4"
"103","DUSP2"
"104","CCR7"
"105","ADM"
"106","OSGIN2"
"107","CCL2"
"108","LRIT3"
"109","ZNF316"
"110","TNF"
"111","TNFSF11"
"112","ARL4A"
"113","ZNF649"
"114","ZNF649-AS1"
"115","IFIT3"
"116","KLHDC8A"
"117","EVC2"
"118","NOG"
"119","TM4SF19"
"120","TM4SF19-AS1"
"121","TM4SF19-TCTEX1D2"
"122","ZNF132"
"123","MN1"
"124","DRAXIN"
"125","PLG"
"126","AL109933.5"
"127","INHBA"
"128","TNFSF14"
"129","NINJ1"
"130","BICDL1"
"131","TXNRD3"
"132","PPP4R1L"
"133","CXCL13"
"134","STRIP2"
"135","DIP2A"
"136","HCAR2"
"137","AC026333.3"
"138","C1orf109"
"139","HIST2H4B"
"140","AC025180.1"
"141","KCNA5"
"142","MTSS1"
"143","OR2B2"
"144","ROR2"
"145","GIMAP4"
"146","HIST1H4J"
"147","GIMAP5"
"148","PIM3"
"149","ZNF595"
"150","PRR26"
"151","TREM1"
"152","MFSD4A"
"153","KBTBD3"
"154","IER3-AS1"
"155","DHRS9"
"156","USP31"
"157","RAB20"
"158","AC007342.3"
"159","LIPC"
"160","PLS3"
"161","HLA-DQB1"
"162","HLA-DQB1-AS1"
"163","IL7R"
"164","CDC73"
"165","CLMN"
"166","CCDC121"
"167","ZFP36"
"168","GPR20"
"169","MUC20"
"170","MUC20P1"
"171","MUC20-OT1"
"172","SCRG1"
"173","CD274"
"174","ZNF550"
"175","GOLPH3L"
"176","CCL8"
"177","TFF3"
"178","KRT13"
"179","PCOLCE2"
"180","AC018552.2"
"181","CXorf58"
"182","ZNF786"
"183","ZNF175"
"184","KBTBD6"
"185","CLEC4G"
"186","ITPRIPL2"
"187","AC099518.3"
"188","AC011484.1"
"189","PLK3"
"190","CLEC1A"
"191","LINC01619"
"192","PAQR8"
"193","LTF"
"194","PRG3"
"195","RNASEL"
"196","VIT"
"197","LRRC72"
"198","KNOP1"
"199","AC002550.1"
"200","AC074091.2"
"201","KRTAP19-2"
"202","ZNF691"
"203","AC132192.2"
"204","PLAG1"
"205","TMED6"
"206","AC019294.2"
"207","GIMAP6"
"208","POGLUT3"
"209","DUSP4"
"210","ZFAND2A"
"211","EPHX4"
"212","LINC01973"
"213","CCDC122"
"214","ZC3H7B"
"215","CAPN8"
"216","FBXO48"
"217","GIMAP8"
"218","ANKRD36"
"219","WDR63"
"220","TRPC3"
"221","AC013269.1"
"222","AC140481.2"
"223","AL513485.1"
"224","FCRL6"
"225","LINC01133"
"226","TXK"
"227","AF233439.1"
"228","ZNF763"
"229","LINC02313"
"230","PUDP"
"231","ZNF836"
"232","AC011468.2"
"233","KLRG1"
"234","BACH2"
"235","PLCB4"
"236","CCDC142"
"237","PRH2"
"238","BTN2A1"
"239","TEC"
"240","CLRN1"
"241","AC020636.2"
"242","AC020636.1"
"243","KHDC4"
"244","RGS19"
"245","DNAAF3"
"246","AC010327.2"
"247","RTP4"
"248","B3GNT5"
"249","HNRNPH1"
"250","AC126121.3"
"251","GADD45B"
"252","FAM200A"
"253","PLAUR"
"254","ARHGAP22"
"255","ZNF559-ZNF177"
"256","PTGDR"
"257","WWC2"
"258","BRWD1"
"259","MPV17L"
"260","AC140504.1"
"261","KRT72"
"262","GBP3"
"263","SLC35G6"
"264","ZBTB4"
"265","C20orf194"
"266","SLA"
"267","CST7"
"268","P2RY14"
"269","AC133485.3"
"270","ACBD7"
"271","AC122719.2"
"272","TP53RK"
"273","RSAD2"
"274","ANO4"
"275","HCAR3"
"276","SHISA7"
"277","TSPYL5"
"278","CCDC184"
"279","DRC1"
"280","FAM81A"
"281","FAM107A"
"282","TRIM61"
"283","IRS2"
"284","NKG7"
"285","RARRES1"
"286","AC006130.1"
"287","ZNF555"
"288","NLRP2"
"289","STARD13"
"290","SLC26A2"
"291","GATA2"
"292","ARRDC5"
"293","STRN3"
"294","CLIC3"
"295","TRIM10"
"296","DENND2D"
"297","L1TD1"
"298","DET1"
"299","SFMBT2"
"300","OR8G5"
"301","ZNF382"
"302","IGIP"
"303","NPTXR"
"304","JAM2"
"305","AGAP2"
"306","PGBD2"
"307","UHRF1"
"308","UTRN"
"309","MBP"
"310","AL033504.1"
"311","ZNF419"
"312","MFAP1"
"313","ZNF287"
"314","TP53TG3D"
"315","FNIP1"
"316","FOS"
"317","PXMP4"
"318","CASP8"
"319","ZNF596"
"320","OR5AL1"
"321","CASP10"
"322","CCDC149"
