"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"HSD11B1-AS1",5.64930914183333,10.2508393524167,21.0187178559319,6.3154804074689e-11,3.23352596862408e-07,15.3273554576495,"up-regulated"
"G0S2",5.64930914183333,10.2508393524167,21.0187178559319,6.3154804074689e-11,3.23352596862408e-07,15.3273554576495,"up-regulated"
"ZBTB24",2.117050963,10.9643133285,19.2513634248382,1.78430609381172e-10,3.27318308778268e-07,14.4060593624949,"up-regulated"
"TSC22D2",3.08860644233333,9.29365483383333,18.7885302187789,2.37710400642202e-10,3.27318308778268e-07,14.1468662645764,"up-regulated"
"CXCL8",5.32747908683334,12.02095116575,18.0919703070264,3.70742037271315e-10,4.46635113136267e-07,13.7414837596336,"up-regulated"
"CSRNP1",2.01832972333333,9.397188455,17.7138573044246,4.75092279562641e-10,5.12099467654889e-07,13.5133585134112,"up-regulated"
"PPP1R15A",2.08558912833333,15.2944651641667,17.4632697765277,5.6149266124734e-10,5.47589033445025e-07,13.3589107038469,"up-regulated"
"CD69",2.51720413666667,12.1587626433333,16.6250891264777,9.98365119630316e-10,8.51938235417869e-07,12.8224963858654,"up-regulated"
"NFKBIZ",2.197369055,14.1403392958333,16.0510644518207,1.50404709883553e-09,1.10010302086256e-06,12.4365545102521,"up-regulated"
"AL162258.2",2.2618780555,4.94667409408333,15.8667299407098,1.72049410358657e-09,1.1011162262954e-06,12.3092402230244,"up-regulated"
"S100A1",2.2618780555,4.94667409408333,15.8667299407098,1.72049410358657e-09,1.1011162262954e-06,12.3092402230244,"up-regulated"
"AL162258.1",2.2618780555,4.94667409408333,15.8667299407098,1.72049410358657e-09,1.1011162262954e-06,12.3092402230244,"up-regulated"
"AC022217.3",2.27206930133334,10.874611361,14.4736189023302,4.98954002156679e-09,2.20745992371154e-06,11.2898548234394,"up-regulated"
"DUSP1",2.27206930133334,10.874611361,14.4736189023302,4.98954002156679e-09,2.20745992371154e-06,11.2898548234394,"up-regulated"
"NR4A2",2.881636319,10.4494156138333,13.9860052263313,7.40351664073902e-09,2.51470428482697e-06,10.9073707513902,"up-regulated"
"NR4A3",4.54293029683334,7.23424282758333,13.1294993170777,1.5267488490922e-08,3.92785208816749e-06,10.1999338886123,"up-regulated"
"STX17-AS1",4.54293029683334,7.23424282758333,13.1294993170777,1.5267488490922e-08,3.92785208816749e-06,10.1999338886123,"up-regulated"
"KCNK7",2.2485216945,6.64897241091667,13.0325600013803,1.66140184484534e-08,3.92785208816749e-06,10.1168510765202,"up-regulated"
"BHLHE40",2.6221868375,10.3409114629167,12.9067864065345,1.85548899210232e-08,4.13047984328864e-06,10.0081038416919,"up-regulated"
"CCIN",2.91515215983333,6.95826454725,12.8419026732369,1.96504347206705e-08,4.23514387521457e-06,9.95157865741633,"up-regulated"
"ATF3",2.11041459916667,7.09241548541667,12.6995139578553,2.23065921563183e-08,4.30980195623961e-06,9.82650600397085,"up-regulated"
"HBEGF",3.4296271,7.06219928383333,12.5887893260691,2.46389720577919e-08,4.71594530601474e-06,9.72825946289607,"up-regulated"
"HIST1H3G",3.09697092783333,4.62581039391667,12.1640464901109,3.63421010212827e-08,5.90703356282436e-06,9.34315628267209,"up-regulated"
"CFAP45",2.07773755116667,5.34518572558333,12.0229099790613,4.14591558530121e-08,6.48155352572281e-06,9.21222497903104,"up-regulated"
"AP003680.1",2.72239822733333,4.202871266,11.8296167566587,4.97637407846656e-08,7.30386582999954e-06,9.03043429929528,"up-regulated"
"PTGS2",2.70238971566667,11.2273640771667,11.2185270982846,9.0165965541872e-08,1.09947462268935e-05,8.43617041162466,"up-regulated"
"EDN2",2.51729046716667,6.68726649991667,11.0527626208792,1.06438536490922e-07,1.23855751553073e-05,8.26964772959933,"up-regulated"
"ID1",2.06181680883333,5.15539561591667,11.0247893367963,1.09483170940441e-07,1.26678832816963e-05,8.24131513424816,"up-regulated"
"EREG",3.92099419883333,6.17811907725,10.9780678878699,1.14779078419099e-07,1.29157995935338e-05,8.19384311167881,"up-regulated"
"SOCS3",2.31264567133333,5.21275379516667,10.8139829443059,1.35672233304055e-07,1.41044027313048e-05,8.02561640408794,"up-regulated"
"HIST1H4B",2.12894117283333,7.80435890525,10.5740984914523,1.73909782774712e-07,1.65659179126795e-05,7.77537995452167,"up-regulated"
"AC110619.1",2.68188223883333,4.21744857475,10.4284757934439,2.02659248062987e-07,1.82037780716227e-05,7.62092720705811,"up-regulated"
"ICOSLG",2.64491290066667,5.539604325,10.0978266083967,2.88718474259176e-07,2.30974779407341e-05,7.26287412014862,"up-regulated"
"FP565260.3",2.64491290066667,5.539604325,10.0978266083967,2.88718474259176e-07,2.30974779407341e-05,7.26287412014862,"up-regulated"
"CD83",2.98729108783333,9.49880350658333,9.38222177967719,6.4182076670369e-07,3.77831059841459e-05,6.45123244261271,"up-regulated"
"CXCL2",3.16960757666667,9.79578249166667,9.26740162503017,7.32819366746073e-07,4.2039609610531e-05,6.31609853390673,"up-regulated"
"ADM",2.0491107815,5.82329166425,9.08114322428362,9.11143078590923e-07,4.91058164461634e-05,6.0938821772804,"up-regulated"
"SGK1",2.15240614666667,13.9572982383333,8.97904564170572,1.02817390028693e-06,5.27744397941765e-05,5.97047057879865,"up-regulated"
"RGS1",3.72375817733333,8.16901113316667,8.87581830261228,1.16302588061859e-06,5.74403954873437e-05,5.84452063873103,"up-regulated"
"KIF13A",2.04743160733333,9.5405712505,8.74887003638135,1.35537032224736e-06,6.23430518683331e-05,5.68799002375559,"up-regulated"
"HIST1H4D",2.2258356595,4.03660565641667,8.464252107374,1.92190968271232e-06,7.96775512185189e-05,5.33034668737108,"up-regulated"
"PPP4R1L",2.0611298135,7.90658105291667,8.41106165691711,2.05349608984789e-06,8.27866140159151e-05,5.26246228346722,"up-regulated"
"CXCL3",2.3000637295,10.2947421619167,7.70466807283111,5.09838718179783e-06,0.000151545674141102,4.32841550792218,"up-regulated"
"HIST1H2BG",2.12116885133333,9.47291722283333,7.61104824958513,5.77635182957059e-06,0.000164077233661034,4.19994488043894,"up-regulated"
"PLEKHG1",2.5658486525,8.85044464525,7.5974258189906,5.88275946122444e-06,0.000165039607898461,4.18115752555067,"up-regulated"
"CXCL1",2.36302918616667,8.36114229608333,7.59628425879777,5.89177089797629e-06,0.000165066303680649,4.17958205788004,"up-regulated"
"CCL3",4.32330876683333,11.24084974825,7.4494329588228,7.18341495945034e-06,0.000188106229252131,3.97550400558163,"up-regulated"
"AC243829.4",4.32330876683333,11.24084974825,7.4494329588228,7.18341495945034e-06,0.000188106229252131,3.97550400558163,"up-regulated"
"AC243829.1",3.60461865825,10.4153756962083,7.10657735852668,1.15292757324963e-05,0.000260617623621991,3.48799218256947,"up-regulated"
"CCL3L1",3.60461865825,10.4153756962083,7.10657735852668,1.15292757324963e-05,0.000260617623621991,3.48799218256947,"up-regulated"
"SLC22A16",2.26474933016666,8.42831853741667,6.75796103609946,1.89396033682754e-05,0.000368359997134169,2.97604586147782,"up-regulated"
"TNFAIP3",2.26370705016667,9.00825483108333,6.62278083869128,2.30576524681542e-05,0.000420499307700622,2.77303499079423,"up-regulated"
"HIST2H3C",3.53174315183334,6.93081906141667,6.46019630579843,2.93077040737226e-05,0.000498937472510258,2.52549588651742,"up-regulated"
"BTG1",2.63300852666667,10.405643845,6.36715819602019,3.36733589311997e-05,0.000555705391547921,2.38217551164505,"up-regulated"
"HIST1H2BD",2.5388463275,11.09018351625,6.24484432358785,4.04897418525746e-05,0.000634055290345357,2.19190152589516,"up-regulated"
"OR10A6",2.42957133433333,5.21852644666667,6.23435025386967,4.11391325595187e-05,0.00064070679453912,2.17547831680326,"up-regulated"
"CCL18",3.82053459233333,8.838669261,6.17624652508447,4.49401070729067e-05,0.000684687783238707,2.08426414771939,"up-regulated"
"HIST1H3E",3.142521531,6.827404336,6.09162474049837,5.11552667421594e-05,0.00074566538283233,1.95056567297844,"up-regulated"
"PLK2",2.20156569166667,9.06256055733333,6.07960293130124,5.21095452352139e-05,0.000756345490019264,1.93148948025103,"up-regulated"
"HIST2H3A",2.14652792058334,6.07951988995833,6.05490593956516,5.41295828167805e-05,0.000776856241126604,1.89223606874291,"up-regulated"
"IL6",2.4277786825,7.37215478208333,6.01842734978817,5.72662647088811e-05,0.000808279187620872,1.8340988469113,"up-regulated"
"LDHC",2.945087847,5.04747031466667,5.95083834100873,6.35974069250852e-05,0.000866022434496907,1.72588144136349,"up-regulated"
"IL1A",5.41184520816667,9.11878031491667,5.78532339708231,8.24385502730894e-05,0.00103452298381916,1.45814244757629,"up-regulated"
"ZFP57",7.15244822333334,7.5625380475,5.75038949771037,8.71220328660529e-05,0.00107485495969685,1.40113809384903,"up-regulated"
"ZBTB21",2.67160702583334,9.99928081225,5.70963951523639,9.29426303325926e-05,0.00112831361541879,1.33442578361151,"up-regulated"
"HIST1H2BN",2.05008517266667,9.95760907316667,5.56741229642603,0.000116691494374124,0.00132993100340677,1.09975549599409,"up-regulated"
"HIST3H2BB",2.06325540416667,6.35545236741667,5.54095608172282,0.000121774996781707,0.00137332154960868,1.0557913209398,"up-regulated"
"IL1B",3.09126134783333,11.5049152294167,5.31649422752053,0.000175548314431291,0.00180483407608074,0.678885849147043,"up-regulated"
"CSKMT",2.25228614966667,6.100135315,5.18241392206138,0.00021914940389596,0.00211706593952324,0.450459892634488,"up-regulated"
"LINC01565",2.0274165805,4.53828643441667,5.06578774777243,0.000266333499477572,0.00242160322337889,0.249815113351937,"up-regulated"
